,magnitude,dmin,latitude,longitude
0,6.5,7.177,-13.8814,167.158
1,6.5,0.679,12.814,-88.1265
2,6.6,1.634,-38.1911,-70.3731
3,7.2,0.907,54.3844,-160.699
4,7.3,0.879451,54.49,-160.796
5,6.6,2.454,20.0196,-61.0955
6,6.9,1.179,-17.853,-174.937
7,7.2,2.59,-22.9824,-177.208
8,6.6,2.163,8.8894,-77.1231
9,7.1,2.812,-23.0622,170.456
10,7.7,3.111,-23.2286,170.694
11,7.6,3.631,-15.6002,-174.608
12,6.6,5.123,-25.2657,178.424
13,7.1,2.282,-0.781,98.5339
14,7.1,0.708,-30.0249,-177.897
15,6.7,4.719,-22.2844,179.391
16,7.0,1.881,-6.0255,112.033
17,6.5,0.266,52.7772,158.484
18,7.0,6.45,-4.2924,143.155
19,6.5,1.622,-23.4797,-66.5108
20,6.5,2.53,36.5227,70.9787
21,6.8,0.709,-2.851,-79.8001
22,7.0,1.789,-30.1147,-176.112
23,6.9,0.784,-29.4748,-178.787
24,6.5,5.483,-15.3597,166.385
25,6.5,2.739,-4.8138,149.487
26,6.8,1.783,38.0726,73.2077
27,7.5,0.85,38.0235,37.203
28,6.7,0.218,37.4135,36.8306
29,7.8,1.919,37.2012,36.9997
30,6.8,5.129,-26.7209,-63.0394
31,7.0,1.974,2.7401,127.051
32,7.6,1.575,-7.0852,130.039
33,7.0,6.096,-14.9383,166.878
34,6.8,2.587,-15.3983,-172.968
35,7.0,0.509,-9.7963,159.596
36,6.9,2.229,-4.9559,100.738
37,7.0,3.125,-20.0508,-178.346
38,7.3,1.865,-19.2918,-172.129
39,6.6,4.998,-25.5948,178.278
40,7.0,4.578,-26.0442,178.381
41,6.8,4.678,-25.9678,178.363
42,6.7,1.151,7.6712,-82.3396
43,6.8,2.137,18.33,-102.913
44,7.6,1.153,18.3667,-103.252
45,6.9,0.401,23.1444,121.307
46,6.5,0.43,23.029,121.348
47,7.0,2.977,-21.2077,170.239
48,7.6,3.158,-6.2237,146.471
49,6.6,8.454,29.7263,102.279
50,6.6,5.293,-32.6922,-178.959
51,7.0,5.276,17.5978,120.809
52,6.5,1.999,-9.0618,-71.1647
53,7.2,2.494,-14.8628,-70.3081
54,6.9,0.371,-54.1325,159.027
55,6.8,1.505,-23.6141,-66.7236
56,6.6,0.914,11.5538,-86.9919
57,7.0,2.705,-22.5732,170.349
58,6.9,2.697,-22.72,170.277
59,6.7,0.289,23.3421,121.636
60,7.3,2.936,37.7015,141.587
61,6.7,2.188,-0.6831,98.6034
62,6.6,0.827,-30.0528,-177.74
63,6.8,5.78,-23.7852,-179.968
64,6.5,3.026,-4.455,-76.9395
65,6.5,1.088,-29.535,-176.729
66,6.6,2.418,-6.9291,105.251
67,6.5,1.61607,52.502,-168.08
68,6.5,0.0,52.502,-168.08
69,6.6,0.507,52.6252,-168.15
70,6.7,0.936943,52.48,-167.736
71,6.7,0.0,52.48,-167.736
72,6.8,0.92,52.6563,-167.917
73,6.6,1.168,35.1456,31.9095
74,6.6,2.685,37.8167,101.299
75,7.3,3.713,-7.5924,127.581
76,7.3,1.025,-7.6033,122.2
77,7.5,4.951,-4.4898,-76.8461
78,6.6,3.259,23.5414,126.48
79,6.9,0.0,56.2581,-156.492
80,6.9,4.778,-21.1704,174.54
81,7.3,4.493,-21.1036,174.895
82,6.5,0.993,12.1598,-87.8542
83,7.0,0.07,16.9502,-99.7877
84,7.1,9.799,-60.3026,-24.9992
85,6.6,8.865,-60.1023,-24.4608
86,6.9,0.579,-14.892,167.085
87,6.9,8.363,-58.3814,-23.3318
88,7.2,1.178,18.3521,-73.4804
89,6.9,0.0,55.2364,-157.707
90,6.9,1.173,55.2657,-157.68
91,8.1,7.463,-58.4157,-25.3206
92,7.5,7.227,-57.5959,-25.1874
93,7.1,1.273,6.4547,126.742
94,8.2,0.875,55.4742,-157.917
95,8.2,0.0,55.3154,-157.829
96,6.7,8.139,13.6989,120.713
97,6.7,1.395,7.5904,-82.8813
98,6.5,7.994,-30.2144,-177.773
99,6.5,4.518,-16.4796,-177.356
100,7.3,4.655,34.5861,98.2551
101,6.7,1.487,0.1684,96.6475
102,6.7,10.669,-17.2495,66.3745
103,6.9,2.619,38.2296,141.665
104,6.5,5.931,-21.6857,-177.064
105,6.5,10.405,-18.9204,-176.235
106,7.0,2.378,38.4752,141.607
107,6.6,3.183,54.7018,163.208
108,6.5,11.764,-28.4792,-176.619
109,8.1,0.739,-29.7466,-177.224
110,7.4,0.437,-29.6131,-177.842
111,7.3,0.918,-37.596,179.544
112,7.1,3.085,37.6856,141.992
113,7.7,7.989,-23.2787,171.489
114,6.9,1.55,-61.8484,-55.559
115,7.0,2.821,5.0074,127.517
116,6.7,2.043,51.2407,100.443
117,6.7,1.319,-39.3264,-74.9067
118,7.0,1.518,37.8973,26.7953
119,7.6,0.23,54.662,-159.675
120,6.9,11.255,0.9604,-26.8332
121,6.5,0.388,-27.9285,-71.3937
122,6.8,0.312,-28.013,-71.1958
123,6.5,15.394,0.8696,-29.7046
124,6.9,2.267,-6.6704,123.493
125,6.9,1.716,-4.2791,101.215
126,6.8,1.816,-4.3724,101.095
127,6.6,5.128,12.0065,124.13
128,7.8,0.621,55.1079,-158.477
129,7.0,1.671,-7.847,147.755
130,6.6,1.458,-5.6368,110.678
131,7.4,0.151,15.9163,-95.9533
132,7.4,4.035,-33.2938,-177.838
133,6.6,2.015,28.9386,128.262
134,6.8,1.164,-23.2966,-68.4204
135,6.5,0.357,38.1689,-117.85
136,6.6,3.403,-12.0662,166.648
137,6.8,1.921,-6.7762,129.785
138,6.5,1.293,34.1818,25.7101
139,6.5,0.885,44.4646,-115.118
140,7.5,4.109,48.9638,157.695
141,7.0,4.501,45.6161,148.959
142,7.7,1.657,19.4193,-78.756
143,6.7,0.87,38.4312,39.0609
144,6.8,0.546,6.6969,125.174
145,7.1,1.271,1.6213,126.416
146,6.5,4.765,-21.9449,-179.511
147,6.6,5.086,-18.5747,-175.272
148,6.5,0.428,6.9098,125.178
149,6.6,0.646,6.7567,125.008
150,6.7,1.269,-35.4758,-73.163
151,6.5,3.909,-3.4528,128.37
152,6.6,4.121,-20.3641,-178.57
153,6.6,12.896,-60.2152,-26.5801
154,6.9,2.839,-7.2822,104.791
155,6.8,0.817,-34.2364,-72.3102
156,6.6,6.024,-16.1985,167.998
157,7.2,1.504,-0.5858,128.034
158,6.6,2.978,-18.2242,120.358
159,6.9,1.205,0.5126,126.189
160,7.1,0.04616,35.7695,-117.599
161,7.3,2.629,-6.4078,129.169
162,7.3,1.402,-30.6441,-178.1
163,6.6,1.193,13.1994,-89.3056
164,8.0,3.18,-5.8119,-75.2697
165,7.6,0.453,-4.051,152.597
166,7.1,2.514,-6.9746,146.449
167,6.8,0.791,-1.8146,122.58
168,6.5,7.568,-58.6262,-25.304
169,7.0,2.501,-14.7131,-70.1546
170,7.5,2.045,-2.1862,-77.0505
171,6.7,0.289,14.6802,-92.4527
172,6.7,7.527,-43.1219,42.3568
173,6.7,0.173,-30.0404,-71.3815
174,6.6,7.818,-13.336,166.875
175,6.6,1.596,2.258,126.758
176,6.8,1.181,-8.144,-71.587
177,7.0,1.769,5.8983,126.921
178,7.3,4.126,55.0999,164.699
179,7.1,7.043,-58.5446,-26.3856
180,6.6,2.679,-22.0629,169.733
181,7.5,2.405,-21.9496,169.427
182,7.1,0.0,61.3464,-149.955
183,6.8,2.879,-17.8735,-178.927
184,6.7,7.853,71.6312,-11.2431
185,6.8,2.268,37.5203,20.5565
186,6.5,1.692,49.297,-129.724
187,6.8,1.505,49.3346,-129.289
188,6.5,1.611,49.2586,-129.412
189,6.5,2.109,-21.7427,169.522
190,6.7,2.705,52.8549,153.243
191,6.5,3.923,49.2902,156.297
192,7.0,1.778,-5.7012,151.205
193,6.7,3.745,-18.3604,-178.063
194,7.5,1.649,-0.2559,119.846
195,6.5,5.139,-25.415,178.199
196,6.9,2.785,-31.7447,-179.373
197,6.5,1.638,-10.0207,161.503
198,7.9,1.431,-18.4743,179.35
199,6.6,1.13,42.6861,141.929
200,7.1,2.548,-22.0295,170.126
201,7.1,3.77,-11.0355,-70.8284
202,6.5,4.797,-16.0315,168.143
203,7.3,1.822,10.7731,-62.9019
204,6.9,2.453,-8.319,116.627
205,8.2,3.63,-18.1125,-178.153
206,6.5,2.719,-7.3718,119.802
207,6.5,0.576,51.4234,-178.026
208,6.9,2.271,-8.2581,116.438
209,6.9,0.11,19.3182,-155.0
210,6.8,5.32,-20.6588,-63.0058
211,6.9,1.487,-5.5321,151.5
212,6.7,1.507,-5.5024,151.402
213,6.8,1.049,-4.3762,153.2
214,6.7,5.457,-6.3043,142.612
215,7.5,5.48,-6.0699,142.754
