,struct_typ,year_built,no_stories,meandamage
0,4,1946,1.0,0.13637
1,5,1946,1.0,0.13302
2,4,1983,1.0,0.1807
3,4,1954,1.0,0.14398
4,4,1982,1.0,0.17911
5,4,1927,2.0,0.12104
6,4,1984,1.0,0.18211
7,1,2011,2.0,0.23953
8,4,2012,2.0,0.24215
9,4,1928,1.0,0.1217099999999999
10,4,1997,2.0,0.2056199999999999
11,4,1980,2.0,0.17573
12,5,1952,1.0,0.13732
13,4,1996,2.0,0.20351
14,3,2002,3.0,0.08795
15,4,2000,1.0,0.21233
16,4,1998,1.0,0.20775
17,1,2004,1.0,0.2211
18,4,1973,2.0,0.16609
19,4,1985,1.0,0.18367
20,1,2012,4.0,0.24215
21,4,1984,1.0,0.18206
22,3,2010,1.0,0.12147
23,3,2007,1.0,0.11865
24,3,1994,1.0,0.09285
25,1,2002,3.0,0.21715
26,1,2005,2.0,0.22439
27,1,2003,3.0,0.21756
28,1,2005,3.0,0.2222599999999999
29,4,1980,2.0,0.17627
30,3,1997,3.0,0.07931
31,4,1998,2.0,0.2082699999999999
32,3,2013,1.0,0.1214599999999999
33,1,1997,3.0,0.20586
34,1,1994,3.0,0.20002
35,1,2002,3.0,0.21718
36,1,2002,3.0,0.21724
37,3,2000,1.0,0.11185
38,3,2003,1.0,0.11463
39,1,2013,3.0,0.24585
40,1,2014,3.0,0.24888
41,3,2015,3.0,0.08789
42,1,2002,3.0,0.21702
43,1,2002,2.0,0.2170699999999999
44,4,1994,2.0,0.2001
45,3,1995,0.0,0.10682
46,1,1990,1.0,0.1914799999999999
47,4,1990,1.0,0.19157
48,3,1999,1.0,0.1070599999999999
49,3,1998,3.0,0.08513
50,4,1998,2.0,0.20848
51,1,2013,3.0,0.2458199999999999
52,4,2002,1.0,0.2179699999999999
53,3,2001,1.0,0.10378
54,1,1999,1.0,0.21143
55,3,2015,1.0,0.1280099999999999
56,1,2000,3.0,0.21122
57,3,2003,1.0,0.11498
58,1,2002,3.0,0.2182
59,4,1984,1.0,0.18364
60,1,1997,4.0,0.19407
61,3,1997,2.0,0.10032
62,3,1999,2.0,0.10776
63,3,1996,2.0,0.09457
64,1,2006,1.0,0.2272199999999999
65,1,2006,2.0,0.22725
66,5,2015,2.0,0.2189199999999999
67,3,1999,1.0,0.11104
68,1,1998,4.0,0.1953599999999999
69,3,2001,1.0,0.1100599999999999
70,3,2005,1.0,0.1171799999999999
71,3,2003,2.0,0.09618
72,3,2012,2.0,0.10001
73,1,1996,3.0,0.2036599999999999
74,1,2013,3.0,0.2443699999999999
75,1,1997,3.0,0.19894
76,1,2000,3.0,0.21297
77,1,2002,3.0,0.2177599999999999
78,1,2002,4.0,0.19819
79,1,2014,4.0,0.23304
80,1,2014,4.0,0.2395199999999999
81,1,2000,3.0,0.20467
82,1,2002,3.0,0.21781
83,3,2005,2.0,0.09373
84,1,2008,1.0,0.24989
85,1,2008,2.0,0.24996
86,4,1999,1.0,0.22683
87,4,1999,1.0,0.2268099999999999
88,3,2007,1.0,0.1278099999999999
89,4,1991,1.0,0.21029
90,4,1999,1.0,0.22694
91,4,1999,1.0,0.2269999999999999
92,1,2012,4.0,0.24519
93,1,2012,4.0,0.24524
94,4,1999,1.0,0.22734
95,4,1999,1.0,0.22737
96,4,1999,1.0,0.22719
97,1,2007,2.0,0.2474
98,4,1999,1.0,0.2270199999999999
99,4,1999,1.0,0.2269
100,4,1992,1.0,0.21249
101,4,1991,1.0,0.2105699999999999
102,4,2002,1.0,0.23462
103,4,1991,1.0,0.21038
104,4,1996,1.0,0.22089
105,1,2007,2.0,0.24803
106,4,1992,2.0,0.21263
107,4,1990,1.0,0.20824
108,3,2009,1.0,0.1113099999999999
109,3,2009,1.0,0.11142
110,4,1990,1.0,0.20838
111,4,2002,1.0,0.2348
112,4,2000,1.0,0.2298
113,4,1991,1.0,0.2104
114,4,1991,1.0,0.2104599999999999
115,4,1993,1.0,0.21452
116,5,1961,1.0,0.1384099999999999
117,4,2000,1.0,0.20235
118,4,1943,1.0,0.12749
119,4,1960,1.0,0.14323
120,4,1965,1.0,0.14894
121,3,2001,1.0,0.10768
122,3,1996,1.0,0.10056
123,3,2004,1.0,0.10751
124,4,1968,1.0,0.15211
125,5,1950,1.0,0.12943
126,1,2013,2.0,0.23346
127,4,1992,1.0,0.18605
128,3,2005,1.0,0.11048
129,3,2007,1.0,0.10928
130,3,2007,1.0,0.1124
131,4,2007,1.0,0.21741
132,4,1997,1.0,0.2134599999999999
133,5,1970,1.0,0.16008
134,3,2014,2.0,0.0974
135,3,1997,1.0,0.10525
136,3,2015,2.0,0.09756
137,4,1962,1.0,0.14543
138,4,1987,1.0,0.19351
139,3,2004,1.0,0.11927
140,4,1987,1.0,0.19329
141,3,1995,1.0,0.11082
142,4,1987,1.0,0.19315
143,4,1999,2.0,0.21702
144,5,1945,1.0,0.13643
145,5,1945,1.0,0.1365299999999999
146,4,1998,1.0,0.19641
147,3,2005,1.0,0.1068099999999999
148,3,2009,1.0,0.11048
149,4,2009,1.0,0.21422
150,1,2013,1.0,0.22538
151,4,2013,1.0,0.22489
152,4,2014,2.0,0.22773
153,3,2014,1.0,0.11564
154,4,1910,1.0,0.10485
155,5,1914,1.0,0.10707
156,5,1942,1.0,0.12372
157,5,1960,1.0,0.13714
158,4,2003,1.0,0.20811
159,4,1964,1.0,0.14695
160,5,1944,1.0,0.1250099999999999
161,5,1944,1.0,0.12474
162,3,2004,1.0,0.11087
163,4,1969,1.0,0.15412
164,1,2012,1.0,0.2318599999999999
165,4,1960,1.0,0.14381
166,4,1978,1.0,0.16551
167,5,1961,1.0,0.13873
168,3,2009,1.0,0.1152
169,3,2007,1.0,0.11317
170,4,1920,1.0,0.1106
171,1,2014,1.0,0.23496
172,3,2003,1.0,0.10907
173,1,2003,1.0,0.20897
174,3,1998,1.0,0.10529
175,3,1998,1.0,0.1053099999999999
176,3,1993,1.0,0.1014299999999999
177,3,1993,1.0,0.1015
178,3,1998,1.0,0.10662
179,3,2001,1.0,0.10924
180,3,2002,1.0,0.11002
181,3,2011,1.0,0.1092
182,3,2012,1.0,0.10201
183,1,2014,1.0,0.23444
184,1,2005,2.0,0.2109599999999999
185,3,2005,1.0,0.10063
186,5,1952,1.0,0.1283
187,4,1996,1.0,0.1899799999999999
188,3,2009,1.0,0.11214
189,5,1970,1.0,0.1439099999999999
190,5,1950,1.0,0.12733
191,5,1933,1.0,0.11547
192,4,2002,1.0,0.20213
193,3,2014,1.0,0.11674
194,1,2004,1.0,0.20605
195,5,1961,1.0,0.13522
196,5,1930,1.0,0.11339
197,3,2012,1.0,0.12067
198,3,2012,1.0,0.10527
199,3,2012,1.0,0.10529
200,4,1993,1.0,0.18444
201,4,1950,1.0,0.13054
202,1,2013,1.0,0.22521
203,3,2011,1.0,0.10954
204,4,2011,1.0,0.22036
205,3,2012,1.0,0.11429
206,5,1950,1.0,0.12599
207,4,1985,1.0,0.17088
208,4,1964,1.0,0.14397
209,3,2001,2.0,0.09314
210,3,2006,1.0,0.11123
211,4,1998,1.0,0.19658
212,4,2015,1.0,0.23736
213,4,1964,1.0,0.1461599999999999
214,4,1995,2.0,0.19655
215,3,2006,1.0,0.10574
216,3,2006,1.0,0.10554
217,4,2006,1.0,0.21443
218,5,1967,1.0,0.14275
219,4,1978,1.0,0.16379
220,4,1995,1.0,0.19119
221,3,2001,1.0,0.1066299999999999
222,4,1996,1.0,0.19317
223,5,1950,1.0,0.12867
224,5,1961,1.0,0.13712
225,3,2012,1.0,0.11509
226,3,2012,1.0,0.11512
227,3,2012,1.0,0.11524
228,3,2009,1.0,0.11274
229,3,2009,1.0,0.1096299999999999
230,5,1950,1.0,0.1270599999999999
231,1,2013,1.0,0.2322199999999999
232,5,2011,2.0,0.19912
233,1,1997,2.0,0.19349
234,3,2001,2.0,0.08139
235,3,2010,4.0,0.07825
236,3,2012,1.0,0.11465
237,3,2012,1.0,0.1147099999999999
238,3,2012,1.0,0.1148
239,3,2012,1.0,0.1149299999999999
240,3,2012,1.0,0.11499
241,1,2003,2.0,0.21828
242,3,2004,1.0,0.11507
243,4,1990,1.0,0.19153
244,3,1993,1.0,0.10513
245,4,1996,1.0,0.20318
246,3,1995,1.0,0.10737
247,5,1955,1.0,0.1404
248,3,2006,1.0,0.1139299999999999
249,3,2006,1.0,0.114
250,3,2008,1.0,0.1157599999999999
251,3,2004,1.0,0.1117599999999999
252,4,1974,1.0,0.1670299999999999
253,3,1996,1.0,0.10782
254,4,1997,1.0,0.2050699999999999
255,3,1997,1.0,0.1086099999999999
256,3,1999,1.0,0.1122599999999999
257,3,1999,1.0,0.11232
258,4,1999,1.0,0.2131199999999999
259,1,2011,3.0,0.24929
260,3,2011,1.0,0.1123599999999999
261,4,1996,2.0,0.20418
262,4,1995,1.0,0.20155
263,3,1995,1.0,0.10712
264,5,1947,1.0,0.13396
265,5,1955,1.0,0.14031
266,5,2007,1.0,0.20317
267,5,1981,1.0,0.16591
268,3,1996,2.0,0.08766
269,3,2001,2.0,0.0981
270,3,1997,1.0,0.07669
271,3,2001,1.0,0.11405
272,5,1964,1.0,0.14751
273,5,1965,1.0,0.14844
274,3,2010,1.0,0.1093599999999999
275,4,1964,1.0,0.15208
276,5,1996,1.0,0.18238
277,4,1999,1.0,0.20839
278,4,1999,1.0,0.20845
279,4,1995,1.0,0.20056
280,3,2014,1.0,0.12703
281,5,1945,1.0,0.1320599999999999
282,5,1945,1.0,0.1321
283,3,2004,1.0,0.11532
284,5,2004,1.0,0.19772
285,4,2004,1.0,0.2214199999999999
286,4,1991,1.0,0.19396
287,4,1992,1.0,0.19594
288,3,2011,1.0,0.10687
289,3,1993,1.0,0.10645
290,3,1999,1.0,0.11162
291,3,1997,1.0,0.10995
292,3,1997,1.0,0.10982
293,3,2012,1.0,0.12475
294,3,2012,1.0,0.12476
295,3,2014,1.0,0.1234599999999999
296,3,1996,1.0,0.10837
297,4,1996,1.0,0.20449
298,5,1949,1.0,0.1356
299,5,1965,1.0,0.14935
300,4,1992,1.0,0.19677
301,5,1935,1.0,0.12563
302,5,1940,1.0,0.12595
303,5,1945,1.0,0.12941
304,5,1955,1.0,0.13742
305,3,2006,1.0,0.11525
306,5,1935,1.0,0.12279
307,4,2000,2.0,0.20833
308,5,1973,1.0,0.15378
309,5,1973,1.0,0.15395
310,3,1996,1.0,0.10575
311,5,1977,1.0,0.15792
312,4,2004,1.0,0.21704
313,5,1965,1.0,0.146
314,5,1965,1.0,0.14604
315,5,1965,1.0,0.14606
316,3,1997,1.0,0.1079599999999999
317,4,1972,1.0,0.1629799999999999
318,4,1973,1.0,0.16422
319,4,1973,1.0,0.16429
320,5,1989,1.0,0.17381
321,5,1994,1.0,0.18045
322,3,2002,1.0,0.113
323,4,2002,1.0,0.21606
324,5,1930,1.0,0.12077
325,4,1967,1.0,0.15709
326,4,1945,1.0,0.13409
327,4,1976,1.0,0.1686
328,4,1976,1.0,0.1687
329,5,1945,1.0,0.13082
330,3,1996,1.0,0.1070599999999999
331,3,1996,1.0,0.10709
332,3,2001,1.0,0.11323
333,4,1972,1.0,0.1614799999999999
334,5,1935,1.0,0.12275
335,3,2000,1.0,0.1117099999999999
336,5,1958,1.0,0.13989
337,3,1983,1.0,0.10309
338,3,1992,1.0,0.1100299999999999
339,5,1935,1.0,0.13016
340,3,2005,1.0,0.1154099999999999
341,3,2012,2.0,0.10701
342,3,2015,1.0,0.12242
343,4,1985,1.0,0.18375
344,4,1992,1.0,0.19698
345,3,2002,1.0,0.11404
346,4,1965,1.0,0.1567
347,3,2001,1.0,0.11316
348,4,1993,1.0,0.19418
349,3,1997,1.0,0.10672
350,3,1997,1.0,0.10679
351,3,2004,1.0,0.11307
352,4,2004,1.0,0.21725
353,3,2004,1.0,0.1132
354,3,2004,1.0,0.1132
355,3,2001,1.0,0.11163
356,5,2001,1.0,0.1893099999999999
357,3,2004,1.0,0.11317
358,5,1976,1.0,0.15722
359,4,1994,1.0,0.19654
360,3,2006,1.0,0.1153599999999999
361,5,1935,1.0,0.12265
362,4,1997,1.0,0.20219
363,4,1998,1.0,0.20395
364,4,1976,1.0,0.17548
365,4,2010,1.0,0.24445
366,5,1944,1.0,0.13569
367,5,1961,1.0,0.15
368,4,2000,1.0,0.21934
369,3,2004,1.0,0.11924
370,3,2004,1.0,0.11925
371,4,1961,1.0,0.15718
372,3,2011,1.0,0.1228799999999999
373,5,1949,1.0,0.13945
374,5,1954,1.0,0.14352
375,3,2015,2.0,0.10527
376,4,1964,2.0,0.15966
